iter	Passed	Remaining
0	160	160458
1	161	80470
2	162	53906
3	162	40513
4	163	32571
5	164	27251
6	165	23423
7	165	20572
8	166	18328
9	167	16540
10	167	15070
11	168	13861
12	169	12837
13	169	11940
14	170	11168
15	170	10511
16	171	9914
17	172	9386
18	172	8918
19	173	8489
20	173	8102
21	174	7747
22	174	7427
23	175	7135
24	175	6861
25	176	6613
26	177	6380
27	177	6163
28	178	5969
29	179	5805
30	180	5637
31	180	5472
32	181	5321
33	182	5172
34	182	5036
35	183	4906
36	183	4785
37	184	4668
38	184	4557
39	185	4452
40	186	4352
41	186	4255
42	187	4161
43	187	4078
44	188	3995
45	188	3913
46	189	3835
47	189	3763
48	190	3695
49	190	3626
50	191	3561
51	192	3510
52	193	3463
53	194	3408
54	195	3352
55	195	3296
56	196	3242
57	196	3190
58	197	3143
59	197	3097
60	198	3053
61	198	3009
62	199	2968
63	200	2927
64	200	2888
65	201	2849
66	201	2812
67	202	2774
68	202	2737
69	203	2703
70	203	2668
71	204	2634
72	204	2601
73	205	2569
74	205	2538
75	206	2513
76	207	2489
77	208	2464
78	209	2436
79	209	2411
80	210	2386
81	210	2360
82	211	2332
83	212	2312
84	213	2292
85	213	2272
86	214	2248
87	215	2228
88	215	2206
89	216	2184
90	216	2163
91	217	2142
92	217	2121
93	218	2101
94	218	2082
95	219	2063
96	219	2044
97	220	2026
98	220	2007
99	221	1991
100	222	1976
101	222	1962
102	223	1947
103	224	1931
104	224	1915
105	225	1900
106	225	1884
107	226	1869
108	227	1857
109	227	1843
110	228	1829
111	228	1814
112	229	1800
113	229	1787
114	230	1774
115	231	1761
116	231	1747
117	232	1734
118	232	1722
119	233	1709
120	233	1697
121	234	1685
122	234	1673
123	235	1662
124	236	1653
125	236	1643
126	237	1633
127	238	1624
128	239	1616
129	240	1606
130	240	1595
131	241	1585
132	241	1574
133	242	1564
134	242	1555
135	243	1545
136	243	1535
137	244	1526
138	244	1516
139	245	1507
140	246	1499
141	246	1488
142	246	1480
143	247	1471
144	248	1462
145	248	1454
146	249	1445
147	249	1437
148	250	1430
149	250	1422
150	251	1415
151	252	1409
152	253	1401
153	253	1394
154	254	1386
155	254	1378
156	255	1370
157	255	1363
158	256	1356
159	256	1349
160	257	1341
161	257	1333
162	258	1327
163	259	1320
164	259	1313
165	260	1306
166	260	1300
167	261	1293
168	261	1286
169	262	1280
170	262	1273
171	263	1267
172	263	1261
173	264	1254
174	265	1250
175	266	1245
176	266	1239
177	267	1234
178	267	1228
179	268	1223
180	269	1218
181	269	1212
182	270	1206
183	270	1201
184	271	1195
185	271	1190
186	272	1184
187	273	1179
188	273	1173
189	274	1168
190	274	1163
191	275	1158
192	275	1152
193	276	1147
194	276	1142
195	277	1137
196	277	1132
197	278	1126
198	278	1122
199	279	1117
200	280	1113
201	280	1109
202	281	1106
203	282	1102
204	283	1098
205	283	1093
206	284	1089
207	284	1084
208	285	1080
209	286	1075
210	286	1071
211	287	1067
212	287	1063
213	288	1059
214	288	1055
215	289	1050
216	290	1046
217	290	1042
218	291	1038
219	291	1034
220	292	1030
221	292	1025
222	293	1021
223	293	1017
224	294	1014
225	295	1011
226	295	1007
227	296	1004
228	297	1000
229	297	997
230	298	993
231	299	990
232	299	987
233	300	984
234	301	981
235	302	978
236	302	975
237	303	971
238	304	968
239	304	964
240	305	961
241	305	957
242	306	954
243	306	950
244	307	948
245	308	945
246	309	942
247	309	939
248	310	936
249	311	933
250	311	930
251	312	926
252	312	923
253	313	920
254	313	916
255	314	914
256	315	912
257	316	909
258	316	906
259	317	903
260	318	901
261	318	898
262	320	897
263	321	895
264	321	893
265	322	890
266	323	887
267	324	884
268	324	882
269	325	880
270	326	877
271	326	874
272	327	872
273	328	869
274	328	866
275	329	863
276	329	860
277	330	858
278	331	855
279	331	852
280	332	849
281	332	846
282	333	843
283	333	841
284	334	838
285	334	835
286	335	833
287	335	830
288	336	827
289	337	825
290	337	822
291	338	820
292	339	818
293	340	816
294	340	814
295	341	812
296	341	809
297	342	806
298	343	804
299	343	801
300	344	799
301	345	797
302	345	795
303	346	793
304	347	790
305	347	788
306	348	786
307	348	783
308	349	781
309	349	778
310	350	776
311	351	774
312	351	771
313	352	769
314	352	766
315	353	764
316	353	762
317	354	760
318	355	758
319	355	756
320	356	753
321	356	751
322	357	749
323	358	747
324	358	744
325	359	742
326	359	740
327	360	738
328	360	735
329	361	733
330	362	731
331	362	729
332	363	727
333	363	725
334	364	723
335	364	720
336	365	718
337	365	716
338	366	714
339	367	712
340	367	710
341	369	711
342	370	709
343	371	707
344	371	706
345	372	704
346	373	702
347	374	700
348	374	699
349	375	697
350	376	695
351	376	693
352	377	691
353	378	689
354	378	687
355	379	685
356	379	683
357	380	681
358	380	679
359	381	677
360	382	676
361	383	676
362	384	674
363	385	673
364	386	671
365	386	670
366	387	668
367	388	666
368	389	665
369	389	663
370	390	661
371	390	659
372	391	657
373	391	655
374	392	653
